keyword,latitude,longitude,description
Food,33.4184193,93.0936712,methodology
Medicines,31.9013679,90.7607694,actuating
Medicines,29.8036445,88.0942069,solution-oriented
Music,29.8384381,93.6088769,utilisation
Medicines,34.0122518,92.6741759,Extended
Medicines,30.0905687,92.609013,definition
Home,33.4520049,91.372514,didactic
Music,31.1857674,91.7646793,Optional
Water,31.081413,90.7656778,complexity
Medicines,33.3365066,89.3976411,alliance
Clothing,31.4754129,89.7915565,functionalities
Tools,29.944984,88.9043107,executive
Garden,32.2563971,89.1235939,project
Water,30.3907912,89.0868261,Reverse-engineered
Grocery,33.8902754,90.870773,installation
Food,29.684422,89.6552493,definition
Appliances,29.3272961,88.0085178,Secured
Food,32.0276599,92.9118313,Decentralized
Appliances,32.3508321,93.040284,matrices
Water,34.778056,90.1549385,secondary
Appliances,33.7773012,90.0269005,full-range
Appliances,31.066214,90.7473185,composite
Clothing,29.1937013,88.1917716,artificial intelligence
Clothing,34.0245783,88.3918328,content-based
Appliances,29.5797537,91.7314263,transitional
Food,32.1394499,89.1846345,responsive
Tools,34.2046213,88.1349875,Decentralized
Food,32.037845,92.24537,Profound
Food,33.5174488,88.7366263,utilisation
Food,33.5008341,92.7741793,protocol
Medicines,32.0472211,92.2618719,well-modulated
Clothing,32.5939147,88.3591677,array
Clothing,29.4352739,91.4991493,support
Medicines,29.5485015,89.2931051,software
Water,34.9049401,89.8715211,zero tolerance
Water,29.8126532,91.6064571,regional
Food,34.096599,89.3831058,Networked
Food,34.5600216,92.5148991,Distributed
Clothing,32.1286037,89.5278069,Profound
Sports,34.6071198,93.9918756,Quality-focused
Medicines,31.8612779,91.2538587,attitude-oriented
Food,31.8659073,91.7340993,neural-net
Clothing,32.7691937,92.1523024,productivity
Clothing,33.6596821,92.935254,Cross-group
Medicines,34.8686763,90.5211609,parallelism
Grocery,30.6110526,89.9528989,motivating
Food,29.8509094,89.6083146,even-keeled
Sports,33.2243145,90.3838556,high-level
Food,33.7902313,91.3560489,Multi-tiered
Garden,33.7508383,89.0085002,Diverse
Clothing,32.1966035,90.3945055,Graphic Interface
Appliances,31.267666,89.1409135,Automated
Food,31.0190396,89.1516799,Right-sized
Medicines,32.4396807,92.0091421,empowering
Clothing,30.9859397,89.3930065,product
Clothing,30.4330028,88.4155223,paradigm
Garden,33.572364,90.9049504,groupware
Sports,30.1405904,91.3941663,5th generation
Clothing,31.9924699,90.2872891,context-sensitive
Outdoors,32.5614229,92.9584663,Pre-emptive
Clothing,30.8101293,93.2792365,Enterprise-wide
Food,29.8714155,92.5152406,Enhanced
Clothing,30.5116153,88.045153,definition
Outdoors,29.4243874,88.5153292,Self-enabling
Garden,34.887073,90.7962788,moratorium
Appliances,30.8390254,91.3920797,Digitized
Food,33.9858703,93.5454299,architecture
Music,29.7343872,90.3410959,Managed
Medicines,33.9222724,89.6916043,Pre-emptive
Appliances,34.5221398,93.7366316,mobile
Water,33.6095975,93.3876273,impactful
Clothing,30.0538699,89.8234863,projection
Clothing,32.8641876,90.464643,impactful
Home,29.2634272,89.5272087,conglomeration
Outdoors,32.9759892,92.3611117,Phased
Medicines,30.4158716,88.1620367,Sharable
Garden,31.1768888,92.1739378,moderator
Others,32.7457539,89.2859933,even-keeled
Grocery,29.6616946,89.1976352,User-friendly
Garden,32.0980481,93.5078905,Horizontal
Water,34.1196882,89.4935384,grid-enabled
Others,34.2179446,92.1617974,human-resource
Garden,29.3459037,93.6085068,global
Others,31.9794651,88.449646,Optional
Medicines,33.740122,93.0540934,solution
Food,31.4425649,88.1373072,synergy
Water,34.1288728,92.5545845,Profit-focused
Appliances,33.874882,88.0442427,Profit-focused
Garden,29.225206,91.6782002,array
Sports,32.0518736,93.0629011,dynamic
Water,33.1979796,93.2118314,analyzing
Medicines,31.1263697,92.5370314,Persevering
Clothing,29.567682,91.5801764,Reduced
Food,34.2037038,90.294496,empowering
Clothing,32.0435687,89.0271055,static
Grocery,30.9167854,92.1542474,Diverse
Clothing,31.7710218,89.0540404,object-oriented
Food,34.5360762,92.1278704,stable
Medicines,30.201006,93.4326516,Diverse
Appliances,29.4181409,90.8544976,circuit
Medicines,30.6109721,89.5506388,benchmark
Clothing,32.9676927,89.2648407,attitude
Clothing,29.4221948,90.2983804,Expanded
Grocery,31.7348166,89.9651448,migration
Food,33.3092162,88.8516491,dynamic
Clothing,31.0485265,90.9020961,Synergistic
Outdoors,29.2098674,90.8399347,collaboration
Others,33.0652436,89.5722632,initiative
Water,33.5203402,91.7188447,infrastructure
Medicines,33.7542861,91.6021735,monitoring
Clothing,34.5181712,92.0313598,Ergonomic
Clothing,30.190909,90.9882116,structure
