id,item,keyword,latitude,longitude,ipv4
1,systemic,Books,24.4134523843,77.2598638679,220.45.42.113
2,orchestration,Shoes,17.4050354665,77.2799555409,118.94.105.221
3,focus group,Kids,32.5570558997,74.3703995458,26.85.240.66
4,user-facing,Sports,17.0163541819,88.9297656187,38.19.150.116
5,clear-thinking,Tools,22.0349020726,85.7613618423,225.219.30.199
6,regional,Grocery,19.5154832173,80.6598084624,33.49.65.223
7,zero administration,Games,11.5174383865,82.8544619176,87.196.84.156
8,Balanced,Music,32.8198938424,90.6240053139,100.67.233.158
9,zero administration,Garden,33.8061384275,94.4612402854,108.49.145.112
10,Reverse-engineered,Books,24.829888604,86.7264907221,94.34.129.251
11,Proactive,Kids,24.2668214452,75.4357979181,65.163.59.83
12,Adaptive,Sports,20.2889707033,90.3140166882,102.51.190.223
13,access,Movies,32.5033034528,81.3560289984,79.237.113.65
14,forecast,Kids,17.6755194281,94.9952499761,15.65.246.123
15,24/7,Outdoors,16.8310476066,77.0497557418,60.253.30.232
16,instruction set,Automotive,10.0352791345,88.0175356044,94.181.150.120
17,concept,Health,25.7950735293,84.4660011619,221.249.233.167
18,24/7,Garden,33.8014937007,74.4123023661,102.91.170.73
19,help-desk,Industrial,23.4339117974,81.2053763737,202.237.197.26
20,analyzer,Garden,24.3097288916,79.7135685011,181.31.53.39
21,mission-critical,Outdoors,32.1878798524,77.8333566944,247.81.202.57
22,Automated,Movies,27.2746172298,93.117480486,243.124.44.195
23,content-based,Garden,34.8158324801,78.6277979971,202.121.193.82
24,neutral,Electronics,27.4922122554,96.2532603042,173.31.43.173
25,productivity,Kids,26.1561156794,75.7939227455,38.128.211.130
26,upward-trending,Grocery,37.4200307263,83.6610220161,228.117.13.119
27,Virtual,Music,8.567869623,94.4046680627,137.25.141.222
28,grid-enabled,Health,11.6039838344,87.7995344653,50.234.122.206
29,dynamic,Automotive,14.4303303255,74.2590707812,166.80.224.203
30,Pre-emptive,Books,32.8446635894,91.4855265204,138.249.41.30
31,functionalities,Automotive,35.0448974141,96.1821644288,122.186.123.190
